_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,gender,hunter_type,num_slots
1310793,Head,8,28,3,1,0,1,-1,2,1,0
1310794,Head,16,36,2,0,0,2,-2,2,0,1
1310795,Head,8,28,3,0,0,3,-2,2,1,1
1310796,Head,14,34,-3,0,0,1,2,0,0,0
1310797,Head,7,27,-3,0,0,2,3,0,1,0
1310798,Head,14,34,-1,-1,0,3,0,2,0,2
1310799,Head,7,27,-1,-1,0,4,0,2,1,2
1310800,Head,18,38,3,-1,3,-1,-1,2,0,1
1310801,Head,9,29,4,-1,3,-1,-1,2,1,1
1310802,Head,18,38,3,-1,3,-1,-1,1,0,1
1310803,Head,9,29,4,-1,3,-1,-1,1,1,1
1310808,Head,8,28,-2,-2,0,2,-2,2,2,0
1310809,Head,8,28,-3,-2,0,-2,1,0,2,0
1310810,Head,14,34,-1,2,0,0,3,2,0,1
1310811,Head,7,27,-1,3,0,0,4,2,1,1
1310812,Head,8,28,2,2,2,2,0,2,2,0
1310813,Head,10,30,1,1,1,2,1,2,0,0
1310814,Head,5,25,1,1,1,3,1,2,1,0
1310815,Head,10,30,1,2,1,1,1,2,0,0
1310816,Head,5,25,1,3,1,1,1,2,1,0
1310817,Head,10,30,2,1,1,1,1,0,0,0
1310818,Head,5,25,3,1,1,1,1,0,1,0
1310819,Head,10,30,1,1,2,1,1,0,0,0
1310820,Head,5,25,1,1,3,1,1,0,1,0
1310821,Head,14,34,2,-1,0,-1,0,0,0,2
1310822,Head,7,27,3,-1,0,-1,0,0,1,2
1310823,Head,16,36,4,0,0,-1,-3,0,0,0
1310824,Head,8,28,5,0,0,-1,-3,0,1,0
1310825,Head,14,34,-3,0,0,1,4,0,0,1
1310826,Head,7,27,-3,0,0,1,5,0,1,1
1310827,Head,16,36,-3,4,0,1,-1,0,0,0
1310828,Head,8,28,-3,5,0,1,-1,0,1,0
1310829,Head,18,38,2,-1,1,-3,0,0,0,0
1310830,Head,9,29,3,-1,1,-3,0,0,1,0
1310831,Head,20,40,-1,-3,1,3,0,0,0,0
1310832,Head,10,30,-1,-3,1,4,0,0,1,0
1310833,Head,18,38,2,0,1,-3,-1,0,0,0
1310834,Head,9,29,3,0,1,-3,-1,0,1,0
1310835,Head,18,38,-3,-1,0,4,0,0,0,1
1310836,Head,9,29,-3,-1,0,5,0,0,1,1
1310837,Head,18,38,-2,1,0,-2,1,2,0,0
1310838,Head,9,29,-1,1,0,-2,1,2,1,0
1310839,Head,18,38,-4,4,1,1,2,0,0,0
1310840,Head,9,29,-4,5,1,1,2,0,1,0
1310841,Head,20,40,3,-2,-3,0,0,0,0,1
1310842,Head,10,30,4,-2,-3,0,0,0,1,1
1310843,Head,20,40,2,-1,1,0,-3,0,0,0
1310844,Head,10,30,3,-1,1,0,-3,0,1,1
1310845,Head,18,38,-4,0,0,1,4,0,0,0
1310846,Head,9,29,-4,0,0,1,5,0,1,0
1310847,Head,20,40,1,-1,0,2,-1,0,0,1
1310848,Head,10,30,2,-1,0,2,-1,0,1,1
1310849,Head,20,40,1,0,1,-1,-3,0,0,1
1310850,Head,10,30,1,1,1,-1,-3,0,1,1
1310851,Head,18,38,-2,-3,1,1,1,0,0,1
1310852,Head,9,29,-2,-2,1,1,1,0,1,1
1310853,Head,18,38,0,0,0,0,0,2,0,0
1310854,Head,9,29,0,0,0,0,0,2,1,0
1310855,Head,20,40,0,-2,0,3,-1,2,0,2
1310856,Head,10,30,0,-2,0,4,-1,2,1,2
1310857,Head,14,34,-3,-3,2,-3,-3,0,0,0
1310858,Head,7,27,-3,-3,4,-3,-3,0,1,0
1310859,Head,20,40,-2,3,2,0,-2,0,0,1
1310860,Head,10,30,-2,3,3,0,-2,0,1,1
1310861,Head,20,40,-2,3,2,0,-2,0,0,1
1310862,Head,10,30,-2,3,3,0,-2,0,1,1
1310865,Head,22,42,2,2,0,-1,0,0,0,0
1310866,Head,11,31,3,2,0,-1,0,0,1,0
1310867,Head,13,33,3,2,0,-1,0,2,2,0
1310868,Head,26,46,3,0,-2,-4,-1,0,0,0
1310869,Head,13,33,4,0,-2,-4,-1,0,1,0
1310870,Head,24,44,4,-2,-4,0,0,0,0,0
1310871,Head,12,32,5,-2,-4,0,0,0,1,0
1310872,Head,24,44,-3,4,-2,2,-1,0,0,1
1310873,Head,12,32,-3,5,-2,2,-1,0,1,1
1310874,Head,22,42,0,4,1,-1,-4,0,0,1
1310875,Head,11,31,0,5,1,-1,-4,0,1,1
1310876,Head,20,40,0,-3,-1,2,1,2,0,0
1310877,Head,10,30,0,-2,-1,2,1,2,1,0
1310878,Head,24,44,0,3,2,-2,-3,2,0,0
1310879,Head,12,32,0,4,2,-2,-3,2,1,0
1310880,Head,26,46,-3,-1,2,1,3,2,0,2
1310881,Head,13,33,-3,-1,2,1,4,2,1,2
1310882,Head,24,44,3,1,-1,-3,0,2,0,1
1310883,Head,12,32,4,1,-1,-3,0,2,1,1
1310884,Head,24,44,-2,-1,-2,2,2,0,0,0
1310885,Head,12,32,-2,-1,-2,3,2,0,1,0
1310886,Head,24,44,2,-3,0,0,-2,2,0,1
1310887,Head,12,32,4,-3,0,0,-2,2,1,1
1310888,Head,24,44,2,-3,-2,0,0,0,0,0
1310889,Head,12,32,4,-3,-2,0,0,0,1,0
1310890,Head,26,46,-1,3,2,-1,0,0,0,0
1310891,Head,13,33,-1,4,2,-1,0,0,1,0
1310892,Head,24,44,2,0,0,-4,-2,0,0,0
1310893,Head,12,32,2,0,0,-3,-2,0,1,0
1310894,Head,26,46,-2,0,-4,2,2,0,0,2
1310895,Head,26,46,-2,0,-4,2,2,0,0,2
1310896,Head,13,33,-2,0,-3,2,2,0,1,2
1310897,Head,13,33,-2,0,-3,2,2,0,1,2
1310898,Head,26,46,-1,-2,-3,2,3,0,0,0
1310899,Head,13,33,-1,-2,-3,2,5,0,1,0
1310900,Head,26,46,-5,0,-3,1,2,0,0,0
1310901,Head,13,33,-4,0,-3,1,2,0,1,0
1310902,Head,26,46,4,1,-3,-4,-1,0,0,0
1310903,Head,13,33,4,1,-3,-3,-1,0,1,0
1310904,Head,26,46,-1,-1,-2,-1,-1,2,0,1
1310905,Head,13,33,-1,-1,-1,-1,-1,2,1,1
1310906,Head,24,44,2,2,-5,2,2,0,0,0
1310907,Head,12,32,2,2,-4,2,2,0,1,0
1310908,Head,22,42,1,1,1,1,1,0,0,3
1310909,Head,11,31,1,1,2,1,1,0,1,3
1310910,Head,20,40,0,0,0,0,0,0,0,1
1310911,Head,10,30,0,0,0,0,0,0,1,1
1310912,Head,20,40,0,0,0,0,0,0,0,1
1310913,Head,10,30,0,0,0,0,0,1,1,1
1310914,Head,20,40,0,0,0,0,0,0,0,1
1310915,Head,10,30,0,0,0,0,0,1,1,1
1310916,Head,20,40,0,0,0,0,0,1,0,1
1310917,Head,10,30,0,0,0,0,0,1,1,1
1310918,Head,10,30,-2,-2,0,-2,-2,2,2,0
1310919,Head,22,42,1,1,1,1,1,2,0,3
1310920,Head,11,31,1,1,1,1,1,2,1,3
1310921,Head,24,40,0,0,0,0,0,0,0,1
1310922,Head,24,40,0,1,0,0,0,0,0,3
1310923,Head,26,42,0,0,0,1,0,2,0,1
1310924,Head,13,29,0,0,0,2,0,2,1,1
1310925,Head,26,42,1,0,0,0,0,2,0,1
1310926,Head,13,29,2,0,0,0,0,2,1,1
1310927,Head,26,42,-1,0,0,0,2,2,0,2
1310928,Head,13,29,-1,0,0,0,4,2,1,2
1310929,Head,26,42,0,1,0,0,0,0,0,1
1310930,Head,13,29,0,2,0,0,0,0,1,1
1310932,Head,26,42,0,0,0,0,0,0,0,0
1310933,Head,13,29,0,0,0,0,0,0,1,0
1310934,Head,22,38,0,0,0,0,0,0,0,1
1310935,Head,11,27,0,0,0,0,0,0,1,1
1310936,Head,30,46,0,0,0,0,-1,0,0,1
1310937,Head,15,31,0,0,0,0,-1,0,1,1
1310942,Head,36,52,2,0,0,-2,0,2,0,1
1310943,Head,18,34,4,0,0,-2,0,2,1,1
1310944,Head,32,48,0,1,0,1,0,2,0,1
1310945,Head,16,32,0,1,0,1,0,2,1,1
1310946,Head,28,44,0,1,0,1,0,2,0,1
1310947,Head,14,30,0,1,0,1,0,2,1,1
1310948,Head,36,52,1,-2,0,2,0,2,0,1
1310949,Head,18,34,1,-2,0,3,0,2,1,1
1310950,Head,32,48,1,-2,0,2,0,2,0,1
1310951,Head,16,32,1,-2,0,3,0,2,1,1
1310952,Head,34,50,3,0,0,1,2,2,0,1
1310953,Head,17,33,4,0,0,1,3,2,1,1
1310954,Head,36,52,2,0,0,2,-2,2,0,1
1310955,Head,18,34,3,0,0,3,-2,2,1,1
1310956,Head,36,52,-3,0,0,1,2,0,0,0
1310957,Head,18,34,-3,0,0,2,3,0,1,0
1310958,Head,34,50,-1,-1,0,3,0,2,0,2
1310959,Head,17,33,-1,-1,0,4,0,2,1,2
1310960,Head,32,48,-1,2,0,0,3,2,0,1
1310961,Head,16,32,-1,3,0,0,4,2,1,1
1310962,Head,28,44,-2,0,1,2,-1,0,0,1
1310963,Head,14,30,-2,0,1,3,-1,0,1,1
1310964,Head,15,31,-2,-2,0,2,-2,2,2,1
1310965,Head,15,31,-3,-2,0,-2,1,0,2,1
1310966,Head,15,31,2,2,2,2,0,2,2,1
1310967,Head,20,36,1,1,1,2,1,2,0,0
1310968,Head,10,26,1,1,1,3,1,2,1,0
1310969,Head,20,36,1,2,1,1,1,2,0,0
1310970,Head,10,26,1,3,1,1,1,2,1,0
1310971,Head,20,36,2,1,1,1,1,0,0,0
1310972,Head,10,26,3,1,1,1,1,0,1,0
1310973,Head,20,36,1,1,2,1,1,0,0,0
1310974,Head,10,26,1,1,3,1,1,0,1,0
1310981,Head,19,35,0,0,0,0,0,2,2,1
1310982,Head,32,48,2,0,0,0,-2,0,0,0
1310983,Head,16,32,3,0,0,0,-2,0,1,0
1310984,Head,28,44,-2,0,0,0,0,0,0,0
1310985,Head,14,30,-2,0,0,0,0,0,1,0
1310990,Head,30,46,-2,0,0,0,0,2,0,1
1310991,Head,15,31,-2,1,1,1,1,2,1,1
1310992,Head,30,46,0,0,0,0,-2,0,0,1
1310993,Head,15,31,0,1,0,1,-2,0,1,1
1310994,Head,30,46,0,-1,0,0,2,2,0,0
1310995,Head,15,31,0,-1,0,0,3,2,1,0
1310996,Head,32,48,0,1,0,0,-2,0,0,2
1310997,Head,16,32,1,2,0,0,-2,0,1,2
1310998,Head,36,52,0,1,0,0,-2,2,0,1
1310999,Head,18,34,1,2,0,0,-2,2,1,1
1311000,Head,34,50,2,-1,0,-1,0,0,0,2
1311001,Head,17,33,3,-1,0,-1,0,0,1,2
1311002,Head,38,54,2,-1,0,-1,0,2,0,1
1311003,Head,19,35,3,-1,0,-1,0,2,1,1
1311004,Head,32,48,-2,1,2,1,1,0,0,3
1311005,Head,16,32,-2,2,3,2,2,0,1,3
1311006,Head,36,52,-2,1,2,1,1,2,0,1
1311007,Head,18,34,-2,2,3,2,2,2,1,1
1311008,Head,36,52,-1,-1,4,-1,-1,2,0,1
1311009,Head,18,34,-1,-1,6,-1,-1,2,1,1
1311010,Head,40,56,-1,-1,4,-1,-1,2,0,1
1311011,Head,20,36,-1,-1,6,-1,-1,2,1,1
1311012,Head,32,48,-1,-1,4,-1,-1,2,0,2
1311013,Head,16,32,-1,-1,6,-1,-1,2,1,2
1311014,Head,32,48,-2,0,2,0,0,0,0,2
1311015,Head,16,32,-2,1,3,1,1,0,1,2
1311016,Head,40,56,0,1,1,1,1,0,0,2
1311017,Head,20,36,0,2,2,2,2,0,1,2
1311018,Head,36,52,0,-2,0,2,1,2,0,1
1311019,Head,18,34,0,-2,0,3,1,2,1,1
1311020,Head,20,36,0,-2,0,4,0,2,2,0
1311021,Head,38,54,-2,-2,0,0,0,0,0,2
1311022,Head,19,35,-2,-2,0,0,0,0,1,2
1311023,Head,42,58,2,0,0,0,-3,0,0,1
1311024,Head,21,37,2,0,0,0,-3,0,1,1
1311025,Head,46,62,2,0,0,0,-3,2,0,0
1311026,Head,23,39,2,0,0,0,-3,2,1,0
1311027,Head,44,60,3,0,0,-1,-3,0,0,0
1311028,Head,22,38,4,0,0,-1,-3,0,1,0
1311029,Head,44,60,-2,-1,1,2,0,0,0,0
1311030,Head,22,38,-2,-1,1,3,0,0,1,0
1311031,Head,40,56,-3,0,0,1,3,0,0,1
1311032,Head,20,36,-3,0,0,1,4,0,1,1
1311033,Head,46,62,-3,4,0,1,-1,0,0,0
1311034,Head,23,39,-3,5,0,1,-1,0,1,0
1311035,Head,42,58,-3,4,0,1,-1,2,0,0
1311036,Head,21,37,-3,5,0,1,-1,2,1,0
1311037,Head,46,62,2,-1,1,-3,0,0,0,0
1311038,Head,23,39,3,-1,1,-3,0,0,1,0
1311039,Head,48,64,-1,-3,1,3,0,0,0,0
1311040,Head,24,40,-1,-3,1,4,0,0,1,0
1311041,Head,52,68,-1,-3,1,3,0,2,0,1
1311042,Head,26,42,-1,-3,1,4,0,2,1,1
1311043,Head,44,60,-1,-3,1,3,0,2,0,0
1311044,Head,22,38,-1,-3,1,4,0,2,1,0
1311045,Head,46,62,2,0,1,-3,-1,0,0,0
1311046,Head,23,39,3,0,1,-3,-1,0,1,0
1311047,Head,46,62,-3,-1,0,4,0,0,0,1
1311048,Head,23,39,-3,-1,0,5,0,0,1,1
1311049,Head,42,58,-3,-1,0,4,0,0,0,0
1311050,Head,21,37,-3,-1,0,5,0,0,1,0
1311051,Head,44,60,0,0,0,0,0,0,0,0
1311052,Head,22,38,0,0,0,0,0,0,1,0
1311053,Head,40,56,-1,-1,0,0,-1,0,0,0
1311054,Head,20,36,-1,-1,0,0,-1,0,1,0
1311055,Head,36,52,-1,-1,0,0,-1,0,0,0
1311056,Head,18,34,-1,-1,0,0,-1,2,1,0
1311057,Head,44,60,1,-1,0,-1,0,0,0,1
1311058,Head,22,38,2,-1,0,-1,0,0,1,1
1311059,Head,48,64,-1,1,0,-1,0,0,0,1
1311060,Head,24,40,-1,2,0,-1,0,0,1,1
1311061,Head,44,60,-1,1,0,-1,0,2,0,0
1311062,Head,22,38,-1,2,0,-1,0,2,1,0
1311063,Head,46,62,0,2,0,-1,-1,0,0,1
1311064,Head,23,39,0,3,0,-1,-1,0,1,0
1311065,Head,42,58,0,2,0,-1,-1,2,0,0
1311066,Head,21,37,0,3,0,-1,-1,2,1,0
1311069,Head,48,64,-1,-1,-1,4,-1,0,0,1
1311070,Head,24,40,-1,-1,-1,5,-1,0,1,1
1311071,Head,50,66,2,2,3,-2,-2,0,0,1
1311072,Head,25,41,3,2,4,-2,-2,0,1,1
1311073,Head,50,66,2,2,3,-2,-2,0,0,1
1311074,Head,25,41,3,2,4,-2,-2,0,1,1
1311075,Head,48,64,2,1,0,1,-1,2,0,1
1311076,Head,24,40,3,1,0,1,-1,2,1,1
1311077,Head,44,60,2,1,0,1,-1,2,0,0
1311078,Head,22,38,3,1,0,1,-1,2,1,0
1311079,Head,46,62,0,-2,0,3,-1,2,0,2
1311080,Head,23,39,0,-2,0,4,-1,2,1,2
1311081,Head,48,64,-2,3,2,0,-2,0,0,0
1311082,Head,24,40,-2,3,3,0,-2,0,1,0
1311083,Head,48,64,-2,3,2,0,-2,0,0,0
1311084,Head,24,40,-2,3,3,0,-2,0,1,0
1311085,Head,44,60,2,0,-2,0,2,2,0,1
1311086,Head,22,38,4,0,-2,0,2,2,1,1
1311087,Head,48,64,3,-1,3,-1,-1,2,0,1
1311088,Head,24,40,4,-1,3,-1,-1,2,1,1
1311089,Head,48,64,3,-1,3,-1,-1,1,0,1
1311090,Head,24,40,4,-1,3,-1,-1,1,1,1
1311091,Head,44,60,-2,1,0,-2,1,2,0,0
1311092,Head,22,38,-1,1,0,-2,1,2,1,0
1311093,Head,46,62,-2,-4,0,3,4,0,0,1
1311094,Head,23,39,-2,-4,0,3,5,0,1,1
1311095,Head,50,66,-4,4,1,1,2,0,0,0
1311096,Head,25,41,-4,5,1,1,2,0,1,0
1311097,Head,46,62,-4,4,1,1,2,2,0,0
1311098,Head,23,39,-4,5,1,1,2,2,1,0
1311099,Head,50,66,3,-2,-3,0,0,0,0,1
1311100,Head,25,41,4,-2,-3,0,0,0,1,1
1311101,Head,54,70,3,-2,-3,0,0,0,0,1
1311102,Head,27,43,4,-2,-3,0,0,0,1,1
1311103,Head,46,62,3,-2,-3,0,0,2,0,1
1311104,Head,23,39,4,-2,-3,0,0,2,1,1
1311105,Head,50,66,2,-1,1,0,-3,0,0,0
1311106,Head,25,41,3,-1,1,0,-3,0,1,1
1311107,Head,52,68,-2,-4,1,4,2,0,0,0
1311108,Head,26,42,-2,-4,1,5,2,0,1,0
1311109,Head,50,66,-4,0,0,1,4,0,0,0
1311110,Head,25,41,-4,0,0,1,5,0,1,0
1311111,Head,54,70,-4,0,0,1,4,2,0,0
1311112,Head,27,43,-4,0,0,1,5,2,1,0
1311113,Head,56,72,4,0,1,-4,0,2,0,0
1311114,Head,28,44,5,0,1,-4,0,2,1,0
1311115,Head,60,76,4,0,1,-4,0,0,0,0
1311116,Head,30,46,5,0,1,-4,0,0,1,0
1311117,Head,48,64,1,-1,0,2,-1,0,0,1
1311118,Head,24,40,2,-1,0,2,-1,0,1,1
1311119,Head,52,68,1,-1,0,2,-1,2,0,1
1311120,Head,26,42,2,-1,0,2,-1,2,1,1
1311121,Head,44,60,1,-1,0,2,-1,2,0,1
1311122,Head,22,38,2,-1,0,2,-1,2,1,1
1311123,Head,56,72,1,0,1,-1,-3,0,0,1
1311124,Head,28,44,1,1,1,-1,-3,0,1,1
1311125,Head,40,56,-2,-3,1,1,1,0,0,1
1311126,Head,20,36,-2,-2,1,1,1,0,1,1
1311127,Head,56,72,2,2,0,-1,0,0,0,0
1311128,Head,28,44,3,2,0,-1,0,0,1,0
1311129,Head,30,46,3,2,0,-1,0,2,2,0
1311130,Head,64,80,3,0,-2,-4,-1,0,0,0
1311131,Head,32,48,4,0,-2,-4,-1,0,1,0
1311132,Head,50,66,3,3,3,3,3,0,0,3
1311133,Head,25,41,3,3,4,3,3,0,1,3
1311134,Head,50,66,0,0,0,0,0,0,0,0
1311135,Head,25,41,0,0,0,0,0,2,1,0
1311136,Head,54,70,0,0,0,0,0,2,0,0
1311137,Head,27,43,0,0,0,0,0,2,1,0
1311138,Head,48,64,0,0,0,0,0,0,0,0
1311139,Head,24,40,0,0,0,0,0,0,1,0
1311140,Head,48,64,0,0,0,0,0,0,0,0
1311141,Head,24,40,0,0,0,0,0,0,1,0
1311142,Head,15,31,-2,-2,0,-2,-2,2,2,1
1311143,Head,52,68,-2,-2,2,4,3,2,0,1
1311144,Head,26,42,-2,-2,2,5,3,2,1,2
1311145,Head,23,39,0,0,6,0,0,0,2,0
1311146,Head,48,62,0,0,0,0,0,0,0,2
1311147,Head,24,38,1,1,1,1,1,0,1,2
1311148,Head,54,68,-2,0,4,0,0,0,0,2
1311149,Head,27,41,-2,0,5,0,0,0,1,2
1311150,Head,60,74,-1,-3,-1,2,1,2,0,0
1311151,Head,30,44,-1,-3,-1,2,1,2,1,0
1311152,Head,56,70,-1,-3,-1,2,1,2,0,0
1311153,Head,28,42,-1,-3,-1,2,1,2,1,0
1311154,Head,40,54,-3,-3,2,-3,-3,0,0,0
1311155,Head,20,34,-3,-3,4,-3,-3,0,1,0
1311160,Head,60,74,1,-2,3,-2,2,0,0,3
1311161,Head,30,44,3,-2,3,-2,2,0,1,3
1311162,Head,56,70,1,-2,3,-2,2,2,0,0
1311163,Head,28,42,3,-2,3,-2,2,2,1,0
1311164,Head,60,74,-3,-2,5,4,-2,0,0,0
1311165,Head,30,44,-3,-2,6,4,-2,0,1,0
1311166,Head,58,72,4,-2,-4,0,0,0,0,0
1311167,Head,29,43,5,-2,-4,0,0,0,1,0
1311168,Head,62,76,4,-2,-4,0,0,0,0,0
1311169,Head,31,45,5,-2,-4,0,0,0,1,0
1311170,Head,54,68,4,-2,-4,0,0,2,0,0
1311171,Head,27,41,5,-2,-4,0,0,2,1,0
1311172,Head,58,72,-3,4,-2,2,-1,0,0,1
1311173,Head,29,43,-3,5,-2,2,-1,0,1,1
1311174,Head,54,68,-3,4,-2,2,-1,2,0,0
1311175,Head,27,41,-3,5,-2,2,-1,2,1,0
1311176,Head,58,72,0,4,1,-1,-4,0,0,0
1311177,Head,29,43,0,5,1,-1,-4,0,1,1
1311178,Head,62,76,0,4,1,-1,-4,0,0,1
1311179,Head,31,45,0,5,1,-1,-4,0,1,1
1311180,Head,50,64,0,-3,-1,2,1,2,0,0
1311181,Head,25,39,0,-2,-1,2,1,2,1,0
1311182,Head,58,72,0,3,2,-2,-3,2,0,0
1311183,Head,29,43,0,4,2,-2,-3,2,1,0
1311184,Head,66,80,-3,-1,2,1,3,2,0,2
1311185,Head,33,47,-3,-1,2,1,4,2,1,2
1311186,Head,60,74,3,1,-1,-3,0,2,0,2
1311187,Head,30,44,4,1,-1,-3,0,2,1,2
1311188,Head,60,74,4,0,0,-4,-1,0,0,2
1311189,Head,30,44,6,0,0,-4,-1,0,1,2
1311190,Head,60,74,-2,-1,-2,2,2,0,0,1
1311191,Head,30,44,-2,-1,-2,3,2,0,1,1
1311192,Head,64,78,-2,-1,-2,2,2,0,0,1
1311193,Head,32,46,-2,-1,-2,3,2,0,1,1
1311194,Head,56,70,-2,-1,-2,2,2,2,0,0
1311195,Head,28,42,-2,-1,-2,3,2,2,1,0
1311196,Head,60,74,2,-3,0,0,-2,2,0,1
1311197,Head,30,44,4,-3,0,0,-2,2,1,1
1311198,Head,66,80,-3,1,1,2,-2,0,0,1
1311199,Head,33,47,-2,1,1,2,-2,0,1,1
1311200,Head,60,74,2,-3,-2,0,0,0,0,0
1311201,Head,30,44,4,-3,-2,0,0,0,1,0
1311202,Head,64,78,2,-3,-2,0,0,0,0,0
1311203,Head,32,46,4,-3,-2,0,0,0,1,0
1311204,Head,56,70,2,-3,-2,0,0,2,0,1
1311205,Head,28,42,4,-3,-2,0,0,2,1,1
1311206,Head,64,78,-1,3,2,-1,0,0,0,1
1311207,Head,32,46,-1,4,2,-1,0,0,1,1
1311208,Head,60,74,-1,3,2,-1,0,2,0,0
1311209,Head,30,44,-1,4,2,-1,0,2,1,0
1311210,Head,62,76,2,0,0,-4,-2,0,0,0
1311211,Head,31,45,2,0,0,-3,-2,0,1,0
1311212,Head,66,80,2,0,0,-4,-2,0,0,0
1311213,Head,33,47,2,0,0,-3,-2,0,1,0
1311214,Head,66,80,2,3,2,1,-5,0,0,0
1311215,Head,33,47,2,3,2,1,-4,0,1,0
1311216,Head,66,80,0,-4,-4,0,0,0,0,1
1311217,Head,33,47,0,-3,-4,0,0,0,1,1
1311218,Head,50,64,0,0,0,0,0,0,0,1
1311219,Head,25,39,0,0,0,0,0,2,1,1
1311220,Head,50,64,0,0,0,0,0,0,0,1
1311221,Head,25,39,0,0,0,0,0,1,1,1
1311222,Head,50,64,0,0,0,0,0,2,0,1
1311223,Head,25,39,0,0,0,0,0,2,1,1
1311224,Head,50,64,0,0,0,0,0,2,0,1
1311225,Head,25,39,0,0,0,0,0,2,1,1
1311226,Head,50,64,0,0,0,0,0,0,0,1
1311227,Head,25,39,0,0,0,0,0,1,1,1
1311228,Head,50,64,0,0,0,0,0,1,0,0
1311229,Head,25,39,0,0,0,0,0,1,1,0
1311230,Head,50,64,0,0,0,0,0,0,0,1
1311231,Head,25,39,0,0,0,0,0,0,1,1
1311232,Head,15,29,0,0,0,0,0,0,2,3
1311235,Head,50,64,0,0,0,0,0,1,0,1
1311236,Head,25,39,0,0,0,0,0,1,1,1
1311237,Head,50,64,0,0,0,0,0,2,0,0
1311238,Head,25,39,0,0,0,0,0,2,1,0
1311239,Head,50,64,0,0,0,0,0,1,0,0
1311240,Head,25,39,0,0,0,0,0,1,1,0
1311241,Head,50,64,0,0,0,0,0,0,0,0
1311242,Head,25,39,0,0,0,0,0,0,1,0
1311243,Head,56,70,1,1,1,1,1,2,0,3
1311244,Head,28,42,1,1,1,1,1,2,1,3
1311245,Head,30,44,3,3,3,3,3,0,2,0
1311246,Head,50,64,0,0,0,0,0,2,0,1
1311247,Head,25,39,0,0,0,0,0,2,1,1
