_id,parent_id,wtype,creation_cost,upgrade_cost,attack,max_attack,element,element_attack,element_2,element_2_attack,awaken,awaken_attack,defense,sharpness,affinity,horn_notes,shelling_type,phial,charges,coatings,recoil,reload_speed,rapid_fire,deviation,ammo,special_ammo,num_slots,tree_depth,final
66562,66561,Great Sword,0,110000,200,0,,0,,0,,0,0,10.7.8.4.1.0 10.7.8.4.3.0 10.7.8.4.5.1,0,,,,,,,,,,,,1,0,0
66563,66562,Great Sword,0,120000,220,0,,0,,0,,0,0,18.2.6.7.2.0 18.2.6.7.4.0 18.2.6.7.5.2,0,,,,,,,,,,,,1,0,1
66817,66307,Great Sword,0,130000,160,0,Fire,20,,0,,0,0,7.7.11.5.0.0 7.7.11.7.0.0 7.7.11.8.2.0,15,,,,,,,,,,,,1,0,0
66818,66817,Great Sword,0,143000,190,0,Fire,22,,0,,0,0,6.4.12.8.0.0 6.4.12.10.0.0 6.4.12.10.3.0,15,,,,,,,,,,,,1,0,0
66819,66818,Great Sword,0,156000,200,0,Fire,24,,0,,0,0,5.4.12.12.2.0 5.4.12.12.4.0 5.4.12.12.6.1,15,,,,,,,,,,,,1,0,1
67073,65795,Great Sword,0,2300,80,0,Water,20,,0,,0,10,5.2.10.3.0.0 5.2.10.5.0.0 5.2.10.8.0.0,0,,,,,,,,,,,,0,0,0
67074,67073,Great Sword,0,4600,90,0,Water,25,,0,,0,12,5.7.8.5.0.0 5.7.8.7.0.0 5.7.8.10.0.0,0,,,,,,,,,,,,0,0,0
67075,67074,Great Sword,0,6900,110,0,Water,27,,0,,0,14,4.6.8.7.0.0 4.6.8.9.0.0 4.6.8.12.0.0,0,,,,,,,,,,,,0,0,0
67076,67075,Great Sword,0,29900,140,0,Water,30,,0,,0,18,6.4.12.8.0.0 6.4.12.10.0.0 6.4.12.10.3.0,0,,,,,,,,,,,,0,0,0
67077,67076,Great Sword,0,32200,160,0,Water,32,,0,,0,20,11.4.10.9.1.0 11.4.10.9.3.0 11.4.10.9.5.1,0,,,,,,,,,,,,0,0,0
67078,67077,Great Sword,0,34500,200,0,Water,38,,0,,0,24,18.2.6.7.2.0 18.2.6.7.4.0 18.2.6.7.5.2,0,,,,,,,,,,,,0,0,1
67329,65795,Great Sword,0,2100,90,0,Thunder,22,,0,,0,0,7.6.4.3.0.0 7.6.4.5.0.0 7.6.4.8.0.0,0,,,,,,,,,,,,0,0,0
67330,67329,Great Sword,0,4200,110,0,Thunder,30,,0,,0,0,5.7.8.5.0.0 5.7.8.7.0.0 5.7.8.10.0.0,0,,,,,,,,,,,,2,0,0
67331,67330,Great Sword,0,25200,150,0,Thunder,32,,0,,0,0,10.4.7.7.2.0 10.4.7.7.4.0 10.4.7.7.7.0,0,,,,,,,,,,,,2,0,0
67332,67331,Great Sword,0,27300,180,0,Thunder,36,,0,,0,0,9.7.8.8.3.0 9.7.8.8.5.0 9.7.8.8.6.2,0,,,,,,,,,,,,2,0,0
67333,67332,Great Sword,0,29400,190,0,Thunder,38,,0,,0,0,6.5.11.9.4.0 6.5.11.9.6.0 6.5.11.9.6.3,0,,,,,,,,,,,,2,0,1
67585,65794,Great Sword,0,1500,90,0,,0,,0,,0,10,3.7.5.0.0.0 3.7.7.0.0.0 3.7.10.0.0.0,0,,,,,,,,,,,,0,0,0
67586,67585,Great Sword,0,3000,100,0,,0,,0,,0,15,4.3.11.2.0.0 4.3.11.4.0.0 4.3.11.7.0.0,0,,,,,,,,,,,,0,0,0
67587,67586,Great Sword,0,4500,110,0,,0,,0,,0,18,4.4.9.3.0.0 4.4.9.5.0.0 4.4.9.8.0.0,0,,,,,,,,,,,,0,0,0
67588,67587,Great Sword,0,19500,150,0,,0,,0,,0,25,3.6.16.5.0.0 3.6.16.7.0.0 3.6.16.8.2.0,0,,,,,,,,,,,,0,0,0
67589,67588,Great Sword,0,21000,170,0,,0,,0,,0,25,7.4.12.7.0.0 7.4.12.9.0.0 7.4.12.9.3.0,0,,,,,,,,,,,,0,0,0
67590,67589,Great Sword,0,22500,220,0,,0,,0,,0,30,7.5.7.10.1.0 7.5.7.10.3.0 7.5.7.10.5.1,0,,,,,,,,,,,,0,0,1
67841,67587,Great Sword,0,4000,120,0,Thunder,35,,0,,0,0,6.4.5.10.0.0 6.4.5.12.0.0 6.4.5.15.0.0,0,,,,,,,,,,,,1,0,0
67842,67841,Great Sword,0,8000,130,0,Thunder,38,,0,,0,0,6.3.9.12.0.0 6.3.9.14.0.0 6.3.9.14.3.0,0,,,,,,,,,,,,1,0,0
67843,67842,Great Sword,0,48000,160,0,Thunder,42,,0,,0,0,6.3.10.10.1.0 6.3.10.10.3.0 6.3.10.10.6.0,0,,,,,,,,,,,,1,0,0
67844,67843,Great Sword,0,52000,200,0,Thunder,48,,0,,0,0,6.4.12.10.3.0 6.4.12.10.4.1 6.4.12.10.4.4,0,,,,,,,,,,,,1,0,1
68097,67586,Great Sword,0,1500,80,0,Fire,25,,0,,0,10,9.4.11.1.0.0 9.4.11.3.0.0 9.4.11.6.0.0,0,,,,,,,,,,,,0,0,0
68098,68097,Great Sword,0,3000,110,0,Fire,40,,0,,0,15,7.4.12.2.0.0 7.4.12.4.0.0 7.4.12.7.0.0,0,,,,,,,,,,,,0,0,0
68099,68098,Great Sword,0,4500,130,0,Fire,45,,0,,0,20,6.5.11.3.0.0 6.5.11.5.0.0 6.5.11.8.0.0,0,,,,,,,,,,,,0,0,0
68100,68099,Great Sword,0,19500,140,0,Fire,50,,0,,0,20,5.3.13.4.0.0 5.3.13.6.0.0 5.3.13.9.0.0,0,,,,,,,,,,,,0,0,0
68101,68100,Great Sword,0,21000,160,0,Fire,55,,0,,0,20,10.7.8.4.1.0 10.7.8.4.3.0 10.7.8.4.5.1,0,,,,,,,,,,,,0,0,0
68102,68101,Great Sword,0,22500,180,0,Fire,60,,0,,0,20,9.8.12.4.2.0 9.8.12.4.4.0 9.8.12.4.5.2,0,,,,,,,,,,,,0,0,1
68353,0,Great Sword,1500,0,70,0,,0,,0,,0,0,6.3.6.0.0.0 6.3.8.0.0.0 6.3.10.1.0.0,0,,,,,,,,,,,,0,0,0
68354,68353,Great Sword,0,2000,80,0,,0,,0,,0,0,4.6.8.2.0.0 4.6.8.4.0.0 4.6.8.7.0.0,0,,,,,,,,,,,,0,0,0
68355,68354,Great Sword,0,3000,100,0,,0,,0,,0,0,4.4.9.3.0.0 4.4.9.5.0.0 4.4.9.8.0.0,0,,,,,,,,,,,,0,0,0
68356,68355,Great Sword,0,4000,110,0,,0,,0,,0,0,2.4.10.4.0.0 2.4.10.6.0.0 2.4.10.9.0.0,0,,,,,,,,,,,,0,0,0
68357,68356,Great Sword,0,5000,120,0,,0,,0,,0,0,6.3.10.6.0.0 6.3.10.8.0.0 6.3.10.10.1.0,0,,,,,,,,,,,,0,0,0
68358,68357,Great Sword,0,15000,150,0,,0,,0,,0,0,9.2.9.10.0.0 9.2.9.12.0.0 9.2.9.13.2.0,0,,,,,,,,,,,,0,0,0
68359,68358,Great Sword,0,16000,180,0,,0,,0,,0,0,6.4.5.15.0.0 6.4.5.16.1.0 6.4.5.16.4.0,0,,,,,,,,,,,,0,0,0
68360,68359,Great Sword,0,17000,230,0,,0,,0,,0,0,8.2.3.17.0.0 8.2.3.17.2.0 8.2.3.17.5.0,0,,,,,,,,,,,,0,0,1
68609,68357,Great Sword,3900,2600,130,0,Thunder,8,,0,,0,0,7.4.5.4.0.0 7.4.5.6.0.0 7.4.5.9.0.0,0,,,,,,,,,,,,1,0,0
68610,68609,Great Sword,0,5200,150,0,Thunder,10,,0,,0,0,5.7.8.5.0.0 5.7.8.7.0.0 5.7.8.10.0.0,0,,,,,,,,,,,,1,0,0
68611,68610,Great Sword,0,31200,160,0,Thunder,15,,0,,0,0,7.5.7.6.0.0 7.5.7.8.0.0 7.5.7.10.1.0,0,,,,,,,,,,,,1,0,0
68612,68611,Great Sword,0,33800,170,0,Thunder,23,,0,,0,0,5.3.10.9.3.0 5.3.10.9.5.0 5.3.10.9.8.0,0,,,,,,,,,,,,2,0,0
68613,68612,Great Sword,0,36400,200,0,Thunder,25,,0,,0,0,5.3.13.10.4.0 5.3.13.10.6.0 5.3.13.10.8.1,0,,,,,,,,,,,,2,0,1
68865,68611,Great Sword,0,140000,190,0,Thunder,14,,0,,0,0,6.3.10.10.1.0 6.3.10.10.3.0 6.3.10.10.6.0,0,,,,,,,,,,,,1,0,0
68866,68865,Great Sword,0,154000,200,0,Thunder,16,,0,,0,0,3.2.17.12.1.0 3.2.17.12.3.0 3.2.17.12.6.0,0,,,,,,,,,,,,1,0,0
68867,68866,Great Sword,0,168000,220,0,Thunder,18,,0,,0,0,7.7.11.8.2.0 7.7.11.8.4.0 7.7.11.8.4.3,0,,,,,,,,,,,,1,0,1
69121,68610,Great Sword,18000,120000,150,0,Water,45,,0,,0,0,7.3.10.9.1.0 7.3.10.9.3.0 7.3.10.9.6.0,0,,,,,,,,,,,,0,0,0
69122,69121,Great Sword,0,132000,160,0,Water,50,,0,,0,0,6.3.10.9.2.0 6.3.10.9.4.0 6.3.10.9.7.0,0,,,,,,,,,,,,0,0,0
69123,69122,Great Sword,0,144000,170,0,Water,52,,0,,0,0,8.4.11.10.2.0 8.4.11.10.4.0 8.4.11.10.6.1,0,,,,,,,,,,,,0,0,0
69124,69123,Great Sword,0,156000,190,0,Water,55,,0,,0,0,6.4.12.10.3.0 6.4.12.10.4.1 6.4.12.10.4.4,0,,,,,,,,,,,,0,0,1
69377,69122,Great Sword,0,100000,190,0,Water,36,,0,,0,0,4.4.9.13.0.0 4.4.9.15.0.0 4.4.9.17.1.0,-15,,,,,,,,,,,,0,0,0
69378,69377,Great Sword,0,110000,210,0,Water,38,,0,,0,0,6.4.5.15.0.0 6.4.5.16.1.0 6.4.5.16.4.0,-15,,,,,,,,,,,,0,0,0
69379,69378,Great Sword,0,120000,230,0,Water,40,,0,,0,0,8.2.3.17.0.0 8.2.3.17.2.0 8.2.3.17.5.0,-15,,,,,,,,,,,,0,0,1
69633,68356,Great Sword,2700,1800,120,0,,0,,0,,0,10,4.6.8.2.0.0 4.6.8.4.0.0 4.6.8.7.0.0,0,,,,,,,,,,,,1,0,0
69634,69633,Great Sword,0,3600,130,0,,0,,0,,0,10,5.3.13.4.0.0 5.3.13.6.0.0 5.3.13.9.0.0,0,,,,,,,,,,,,1,0,0
69635,69634,Great Sword,0,21600,150,0,,0,,0,,0,12,9.7.8.6.0.0 9.7.8.8.0.0 9.7.8.8.3.0,0,,,,,,,,,,,,2,0,0
69636,69635,Great Sword,0,23400,170,0,,0,,0,,0,12,6.5.11.8.0.0 6.5.11.9.1.0 6.5.11.9.4.0,0,,,,,,,,,,,,2,0,0
69637,69636,Great Sword,0,25200,190,0,,0,,0,,0,12,8.4.11.10.2.0 8.4.11.10.4.0 8.4.11.10.6.1,0,,,,,,,,,,,,2,0,0
69638,69637,Great Sword,0,27000,210,0,,0,,0,,0,15,5.3.13.10.4.0 5.3.13.10.6.0 5.3.13.10.8.1,0,,,,,,,,,,,,2,0,1
69889,69635,Great Sword,15000,100000,160,0,,0,,0,,0,5,7.3.10.9.1.0 7.3.10.9.3.0 7.3.10.9.6.0,0,,,,,,,,,,,,1,0,0
69890,69889,Great Sword,0,110000,190,0,,0,,0,,0,5,3.6.16.8.2.0 3.6.16.8.4.0 3.6.16.8.7.0,0,,,,,,,,,,,,1,0,0
69891,69890,Great Sword,0,120000,220,0,,0,,0,,0,5,9.7.8.8.3.0 9.7.8.8.5.0 9.7.8.8.6.2,0,,,,,,,,,,,,1,0,1
70145,69634,Great Sword,0,3000,130,0,,0,,0,,0,5,4.6.8.7.0.0 4.6.8.9.0.0 4.6.8.12.0.0,0,,,,,,,,,,,,2,0,0
70146,70145,Great Sword,0,33000,160,0,,0,,0,,0,6,7.4.5.14.0.0 7.4.5.15.1.0 7.4.5.15.4.0,0,,,,,,,,,,,,2,0,0
70147,70146,Great Sword,0,36000,190,0,,0,,0,,0,6,4.4.9.17.1.0 4.4.9.17.3.0 4.4.9.17.5.1,0,,,,,,,,,,,,3,0,0
70148,70147,Great Sword,0,39000,210,0,,0,,0,,0,8,8.7.4.14.2.0 8.7.4.14.4.0 8.7.4.14.5.2,0,,,,,,,,,,,,3,0,1
70401,69633,Great Sword,0,2800,100,0,,0,,0,,0,0,5.7.8.10.0.0 5.7.8.10.2.0 5.7.8.10.5.0,30,,,,,,,,,,,,0,0,0
70402,70401,Great Sword,0,5600,120,0,,0,,0,,0,0,8.4.11.10.2.0 8.4.11.10.4.0 8.4.11.10.6.1,30,,,,,,,,,,,,1,0,0
70403,70402,Great Sword,0,33600,150,0,,0,,0,,0,0,5.3.13.10.4.0 5.3.13.10.6.0 5.3.13.10.8.1,30,,,,,,,,,,,,2,0,0
70404,70403,Great Sword,0,36400,170,0,,0,,0,,0,0,10.7.3.12.7.1 10.7.3.12.7.1 10.7.3.12.7.1,30,,,,,,,,,,,,2,0,0
70405,70404,Great Sword,0,39200,190,0,,0,,0,,0,0,7.4.12.9.6.2 7.4.12.9.6.2 7.4.12.9.6.2,35,,,,,,,,,,,,2,0,1
70657,68355,Great Sword,0,1300,100,0,,0,,0,,0,0,6.4.5.5.0.0 6.4.5.7.0.0 6.4.5.10.0.0,0,,,,,,,,,,,,0,0,0
70658,70657,Great Sword,0,2600,110,0,,0,,0,,0,0,4.6.8.7.0.0 4.6.8.9.0.0 4.6.8.12.0.0,0,,,,,,,,,,,,0,0,0
70659,70658,Great Sword,0,3900,120,0,,0,,0,,0,0,4.4.9.8.0.0 4.4.9.10.0.0 4.4.9.13.0.0,0,,,,,,,,,,,,0,0,0
70660,70659,Great Sword,0,5200,130,0,,0,,0,,0,0,9.2.9.10.0.0 9.2.9.12.0.0 9.2.9.13.2.0,0,,,,,,,,,,,,0,0,0
70661,70660,Great Sword,0,18200,140,0,,0,,0,,0,0,6.3.10.9.2.0 6.3.10.9.4.0 6.3.10.9.7.0,0,,,,,,,,,,,,0,0,0
70662,70661,Great Sword,0,19500,180,0,,0,,0,,0,0,7.4.12.9.3.0 7.4.12.9.5.0 7.4.12.9.6.2,0,,,,,,,,,,,,0,0,0
70663,70662,Great Sword,0,20800,220,0,,0,,0,,0,0,5.7.8.10.5.0 5.7.8.10.7.0 5.7.8.10.8.2,0,,,,,,,,,,,,0,0,1
70913,70661,Great Sword,0,120000,150,0,Poison,32,,0,,0,0,6.3.10.10.1.0 6.3.10.10.3.0 6.3.10.10.6.0,0,,,,,,,,,,,,2,0,0
70914,70913,Great Sword,0,132000,170,0,Poison,35,,0,,0,0,8.4.11.10.2.0 8.4.11.10.4.0 8.4.11.10.6.1,0,,,,,,,,,,,,2,0,0
70915,70914,Great Sword,0,144000,190,0,Poison,38,,0,,0,0,7.4.12.9.3.0 7.4.12.9.5.0 7.4.12.9.6.2,0,,,,,,,,,,,,2,0,0
70916,70915,Great Sword,0,156000,200,0,Poison,40,,0,,0,0,6.5.11.9.4.0 6.5.11.9.6.0 6.5.11.9.6.3,0,,,,,,,,,,,,2,0,1
71169,70658,Great Sword,0,2500,120,0,,0,,0,,0,30,6.4.10.0.0.0 6.4.12.0.0.0 6.4.12.3.0.0,0,,,,,,,,,,,,0,0,0
71170,71169,Great Sword,0,5000,140,0,,0,,0,,0,30,5.3.12.0.0.0 5.3.13.1.0.0 5.3.13.4.0.0,0,,,,,,,,,,,,0,0,0
71171,71170,Great Sword,0,30000,160,0,,0,,0,,0,30,6.3.15.1.0.0 6.3.15.3.0.0 6.3.15.6.0.0,0,,,,,,,,,,,,0,0,0
71172,71171,Great Sword,0,32500,190,0,,0,,0,,0,35,5.4.12.4.0.0 5.4.12.6.0.0 5.4.12.9.0.0,0,,,,,,,,,,,,0,0,0
71173,71172,Great Sword,0,35000,240,0,,0,,0,,0,40,2.5.17.6.0.0 2.5.17.6.2.0 2.5.17.6.5.0,0,,,,,,,,,,,,0,0,1
71425,70658,Great Sword,0,2400,100,0,Paralysis,12,,0,,0,0,5.7.8.5.0.0 5.7.8.7.0.0 5.7.8.10.0.0,-10,,,,,,,,,,,,0,0,0
71426,71425,Great Sword,0,4800,120,0,Paralysis,14,,0,,0,0,4.6.8.7.0.0 4.6.8.9.0.0 4.6.8.12.0.0,-10,,,,,,,,,,,,0,0,0
71427,71426,Great Sword,0,28800,140,0,Paralysis,16,,0,,0,0,7.4.5.9.0.0 7.4.5.11.0.0 7.4.5.14.0.0,-10,,,,,,,,,,,,0,0,0
71428,71427,Great Sword,0,31200,160,0,Paralysis,18,,0,,0,0,6.3.10.9.2.0 6.3.10.9.4.0 6.3.10.9.7.0,-10,,,,,,,,,,,,0,0,0
71429,71428,Great Sword,0,33600,200,0,Paralysis,20,,0,,0,0,7.4.12.9.3.0 7.4.12.9.5.0 7.4.12.9.6.2,-10,,,,,,,,,,,,0,0,1
71681,68354,Great Sword,0,1700,120,0,,0,,0,,0,0,4.6.8.2.0.0 4.6.8.4.0.0 4.6.8.7.0.0,-10,,,,,,,,,,,,0,0,0
71682,71681,Great Sword,0,3400,130,0,,0,,0,,0,0,4.4.9.3.0.0 4.4.9.5.0.0 4.4.9.8.0.0,-10,,,,,,,,,,,,0,0,0
71683,71682,Great Sword,0,5100,150,0,,0,,0,,0,0,7.3.10.5.0.0 7.3.10.7.0.0 7.3.10.9.1.0,-10,,,,,,,,,,,,0,0,0
71684,71683,Great Sword,0,22100,170,0,,0,,0,,0,0,6.3.10.6.0.0 6.3.10.8.0.0 6.3.10.10.1.0,-10,,,,,,,,,,,,0,0,0
71685,71684,Great Sword,0,23800,200,0,,0,,0,,0,0,5.3.14.8.0.0 5.3.14.10.0.0 5.3.14.11.2.0,-10,,,,,,,,,,,,0,0,0
71686,71685,Great Sword,0,25500,240,0,,0,,0,,0,0,5.7.8.10.0.0 5.7.8.10.2.0 5.7.8.10.5.0,-10,,,,,,,,,,,,0,0,1
71937,71684,Great Sword,0,120000,200,0,,0,,0,,0,0,10.7.8.4.1.0 10.7.8.4.3.0 10.7.8.4.5.1,-20,,,,,,,,,,,,0,0,0
71938,71937,Great Sword,0,132000,210,0,,0,,0,,0,0,10.8.12.3.2.0 10.8.12.3.4.0 10.8.12.3.4.3,-20,,,,,,,,,,,,0,0,0
71939,71938,Great Sword,0,144000,240,0,,0,,0,,0,0,11.11.5.6.2.0 11.11.5.6.3.1 11.11.5.6.3.4,-20,,,,,,,,,,,,0,0,1
72193,0,Great Sword,1650,0,80,0,,0,,0,,0,0,8.4.3.0.0.0 8.4.5.0.0.0 8.4.8.0.0.0,0,,,,,,,,,,,,0,0,0
72194,72193,Great Sword,0,2200,100,0,,0,,0,,0,0,7.3.5.0.0.0 7.3.7.0.0.0 7.3.10.0.0.0,0,,,,,,,,,,,,0,0,0
72195,72194,Great Sword,0,3300,110,0,,0,,0,,0,0,10.2.8.0.0.0 10.2.10.0.0.0 10.2.13.0.0.0,0,,,,,,,,,,,,0,0,0
72196,72195,Great Sword,0,4400,130,0,,0,,0,,0,0,5.2.13.0.0.0 5.2.15.0.0.0 5.2.18.0.0.0,0,,,,,,,,,,,,0,0,0
72197,72196,Great Sword,0,5500,140,0,,0,,0,,0,0,5.3.15.2.0.0 5.3.15.4.0.0 5.3.15.7.0.0,0,,,,,,,,,,,,0,0,0
72198,72197,Great Sword,0,16500,170,0,,0,,0,,0,0,5.3.14.3.0.0 5.3.14.5.0.0 5.3.14.8.0.0,0,,,,,,,,,,,,0,0,0
72199,72198,Great Sword,0,17600,210,0,,0,,0,,0,0,5.3.13.4.0.0 5.3.13.6.0.0 5.3.13.9.0.0,0,,,,,,,,,,,,0,0,0
72200,72199,Great Sword,0,18700,240,0,,0,,0,,0,0,3.6.16.5.0.0 3.6.16.7.0.0 3.6.16.8.2.0,0,,,,,,,,,,,,0,0,1
72449,72197,Great Sword,4200,2800,120,0,Fire,22,,0,,0,0,18.2.6.4.0.0 18.2.6.6.0.0 18.2.6.7.2.0,0,,,,,,,,,,,,0,0,0
72450,72449,Great Sword,0,30800,150,0,Fire,30,,0,,0,0,13.2.7.8.0.0 13.2.7.9.1.0 13.2.7.9.4.0,0,,,,,,,,,,,,0,0,0
72451,72450,Great Sword,0,33600,170,0,Fire,34,,0,,0,0,7.3.10.9.1.0 7.3.10.9.3.0 7.3.10.9.6.0,0,,,,,,,,,,,,0,0,0
72452,72451,Great Sword,0,36400,180,0,Fire,36,,0,,0,0,7.8.3.11.1.0 7.8.3.11.3.0 7.8.3.11.5.1,0,,,,,,,,,,,,0,0,0
72453,72452,Great Sword,0,39200,210,0,Fire,38,,0,,0,0,5.4.12.12.2.0 5.4.12.12.4.0 5.4.12.12.6.1,0,,,,,,,,,,,,0,0,1
72705,72451,Great Sword,0,200000,170,0,Fire,52,,0,,0,0,10.4.7.7.2.0 10.4.7.7.4.0 10.4.7.7.7.0,0,,,,,,,,,,,,1,0,0
72706,72705,Great Sword,0,220000,180,0,Fire,54,,0,,0,0,9.7.8.8.3.0 9.7.8.8.5.0 9.7.8.8.6.2,0,,,,,,,,,,,,1,0,0
72707,72706,Great Sword,0,240000,190,0,Fire,56,,0,,0,0,6.5.11.9.4.0 6.5.11.9.6.0 6.5.11.9.6.3,0,,,,,,,,,,,,1,0,1
72961,72197,Great Sword,6000,4000,140,0,,0,,0,,0,0,7.3.10.9.1.0 7.3.10.9.3.0 7.3.10.9.6.0,10,,,,,,,,,,,,1,0,0
72962,72961,Great Sword,0,44000,150,0,,0,,0,,0,0,6.3.10.9.2.0 6.3.10.9.4.0 6.3.10.9.7.0,10,,,,,,,,,,,,1,0,0
72963,72962,Great Sword,0,48000,160,0,,0,,0,,0,0,6.4.12.10.3.0 6.4.12.10.4.1 6.4.12.10.4.4,10,,,,,,,,,,,,1,0,0
72964,72963,Great Sword,0,52000,180,0,,0,,0,,0,0,9.10.3.9.3.1 9.10.3.9.3.3 9.10.3.9.3.6,10,,,,,,,,,,,,1,0,0
72965,72964,Great Sword,0,56000,190,0,,0,,0,,0,0,7.5.7.10.5.1 7.5.7.10.5.3 7.5.7.10.5.6,10,,,,,,,,,,,,1,0,1
73217,72963,Great Sword,0,140000,160,0,,0,,0,,0,0,17.6.4.9.3.1 17.6.4.9.3.1 17.6.4.9.3.1,20,,,,,,,,,,,,2,0,0
73218,73217,Great Sword,0,154000,170,0,,0,,0,,0,0,5.3.15.12.3.2 5.3.15.12.3.2 5.3.15.12.3.2,20,,,,,,,,,,,,2,0,0
73219,73218,Great Sword,0,168000,180,0,,0,,0,,0,0,6.3.15.10.3.3 6.3.15.10.3.3 6.3.15.10.3.3,20,,,,,,,,,,,,2,0,1
73473,72195,Great Sword,0,1400,110,0,,0,,0,,0,0,9.4.11.1.0.0 9.4.11.3.0.0 9.4.11.6.0.0,0,,,,,,,,,,,,0,0,0
73474,73473,Great Sword,0,2800,120,0,,0,,0,,0,0,6.5.11.3.0.0 6.5.11.5.0.0 6.5.11.8.0.0,0,,,,,,,,,,,,0,0,0
73475,73474,Great Sword,0,4200,140,0,,0,,0,,0,0,5.4.12.4.0.0 5.4.12.6.0.0 5.4.12.9.0.0,0,,,,,,,,,,,,0,0,0
73476,73475,Great Sword,0,18200,160,0,,0,,0,,0,0,9.4.11.6.0.0 9.4.11.7.1.0 9.4.11.7.4.0,0,,,,,,,,,,,,1,0,0
73477,73476,Great Sword,0,19600,170,0,,0,,0,,0,0,18.2.6.7.2.0 18.2.6.7.4.0 18.2.6.7.5.2,0,,,,,,,,,,,,2,0,0
73478,73477,Great Sword,0,21000,210,0,,0,,0,,0,0,8.10.6.7.4.0 8.10.6.7.5.1 8.10.6.7.5.4,0,,,,,,,,,,,,2,0,1
73729,73476,Great Sword,0,120000,180,0,,0,,0,,0,0,15.2.8.9.1.0 15.2.8.9.3.0 15.2.8.9.4.2,0,,,,,,,,,,,,1,0,0
73730,73729,Great Sword,0,132000,200,0,,0,,0,,0,0,7.7.11.8.2.0 7.7.11.8.4.0 7.7.11.8.4.3,0,,,,,,,,,,,,1,0,0
