_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_ja,description,description_de,description_fr,description_es,description_it,description_ja
26,16,10,Bio Researcher,Bio-Forscher,Chercheur bio,Bioinvestigador,Bioricercatore,,"Increases Dung Bomb efficacy, and prevents Stench and Blastblight.",Steigert Wirksamkeit von Dung- bomben und verhindert Gestank sowie Sprengschaden.,Augmente l'efficacité des bouses. Annule la puanteur et le fléau-explosion.,"Aumenta la eficacia de las bombas boñiga, y protege del hedor y la plaga de nitro.","Potenzia la bomba-letame, annulla fetore e danni da scoppio.",
27,17,10,Negate Bleeding,Blutung aufheben,Compression,Anula sangrado,Nega emorragia,,Prevents Bleeding.,Verhindert eine Blutung.,Empêche l'hémorragie.,Evita el sangrado.,Previene l'emorragia.,
28,17,-10,Double Bleeding,Doppelte Blutung,Effusion,Sangrado doble,Doppia emorragia,,Doubles the damage received from Bleeding.,"Verdoppelt den durch ""Blutung"" erlittenen Schaden.",Double les dégâts infligés par l'hémorragie.,Duplica el daño recibido por sangrado.,Raddoppia i danni subiti per l'emorragia.,
29,18,20,Attack Up (L),Angriff +3,Attaque +3,Ataque +3,Attacco +3,,Greatly increases Attack.,Erhöht Angriff stark.,Augmente grandement l'attaque.,Aumenta mucho el ataque.,Aumenta molto l'attacco.,
30,18,15,Attack Up (M),Angriff +2,Attaque +2,Ataque +2,Attacco +2,,Increases Attack.,Erhöht Angriff. ,Augmente l'attaque.,Aumenta el ataque.,Aumenta l'attacco.,
31,18,10,Attack Up (S),Angriff +1,Attaque +1,Ataque +1,Attacco +1,,Slightly increases Attack.,Erhöht Angriff leicht.,Augmente légèrement l'attaque.,Aumenta ligeramente el ataque.,Aumenta leggermente l'attacco.,
32,18,-10,Attack Down (S),Angriff -1,Attaque -1,Ataque -1,Attacco -1,,Slightly decreases Attack.,Verringert Angriff leicht.,Diminue légèrement l'attaque.,Reduce ligeramente el ataque.,Riduce leggermente l'attacco.,
33,18,-15,Attack Down (M),Angriff -2,Attaque -2,Ataque -2,Attacco -2,,Decreases Attack.,Verringert Angriff.,Diminue l'attaque.,Reduce el ataque.,Riduce l'attacco.,
34,18,-20,Attack Down (L),Angriff -3,Attaque -3,Ataque -3,Attacco -3,,Greatly decreases Attack.,Verringert Angriff stark.,Diminue grandement l'attaque.,Reduce mucho el ataque.,Riduce molto l'attacco.,
35,19,20,Defense Up (L),Verteidigung +3,Défense +3,Defensa +3,Difesa +3,,Greatly increases Defense.,Erhöht Verteidigung stark.,Augmente grandement la défense.,Aumenta mucho la defensa.,Aumenta molto la difesa.,
36,19,15,Defense Up (M),Verteidigung +2,Défense +2,Defensa +2,Difesa +2,,Increases Defense.,Erhöht Verteidigung.,Augmente la défense.,Aumenta la defensa.,Aumenta la difesa.,
37,19,10,Defense Up (S),Verteidigung +1,Défense +1,Defensa +1,Difesa +1,,Slightly increases Defense.,Erhöht Verteidigung leicht.,Augmente légèrement la défense.,Aumenta ligeramente la defensa.,Aumenta leggermente la difesa.,
38,19,-10,Defense Down (S),Verteidigung -1,Défense -1,Defensa -1,Difesa -1,,Slightly decreases Defense.,Verringert Verteidigung leicht.,Diminue légèrement la défense.,Reduce ligeramente la defensa.,Riduce leggermente la difesa.,
39,19,-15,Defense Down (M),Verteidigung -2,Défense -2,Defensa -2,Difesa -2,,Decreases Defense.,Verringert Verteidigung.,Diminue la défense.,Reduce la defensa.,Riduce la difesa.,
40,19,-20,Defense Down (L),Verteidigung -3,Défense -3,Defensa -3,Difesa -3,,Greatly decreases Defense.,Verringert Verteidigung stark.,Diminue grandement la défense.,Reduce mucho la defensa.,Riduce molto la difesa.,
41,20,15,Health +50,Gesundheit +50,Vie +50,Salud +50,Vita +50,,Increases maximum Health by 50.,Erhöht die maximale Gesundheit um 50.,Augmente de 50 la vie maximale.,Aumenta la salud máxima en 50.,Aumenta la vita massima di 50 punti.,
42,20,10,Health +20,Gesundheit +20,Vie +20,Salud +20,Vita +20,,Increases maximum Health by 20.,Erhöht die maximale Gesundheit um 20.,Augmente de 20 la vie maximale.,Aumenta la salud máxima en 20.,Aumenta la vita massima di 20 punti.,
43,20,-10,Health -10,Gesundheit -10,Vie -10,Salud -10,Vita -10,,Decreases maximum Health by 10.,Verringert die maximale Gesundheit um 10.,Réduit de 10 la vie maximale.,Reduce la salud máxima en 10.,Riduce la vita massima di 10 punti.,
44,20,-15,Health -30,Gesundheit -30,Vie -30,Salud -30,Vita -30,,Decreases maximum Health by 30.,Verringert die maximale Gesundheit um 30.,Réduit de 30 la vie maximale.,Reduce la salud máxima en 30.,Riduce la vita massima di 30 punti.,
45,21,15,Fire Res +20,Feuerabwehr +20,Feu +20,Resist. fuego +20,Fuoco +20,,Increases Fire Resistance by 20.,Erhöht Feuerabwehr um 20.,Augmente la résistance au feu de 20.,Aumenta la resistencia al fuego en 20.,Aumenta la resistenza al fuoco di 20 punti.,
46,21,10,Fire Res +15,Feuerabwehr +15,Feu +15,Resist. fuego +15,Fuoco +15,,Increases Fire Resistance by 15.,Erhöht Feuerabwehr um 15.,Augmente la résistance au feu de 15.,Aumenta la resistencia al fuego en 15.,Aumenta la resistenza al fuoco di 15 punti.,
47,21,-10,Fire Res -20,Feuerabwehr -20,Feu -20,Resist. fuego -20,Fuoco -20,,Decreases Fire Resistance by 20.,Verringert Feuerabwehr um 20.,Diminue la résistance au feu de 20.,Reduce la resistencia al fuego en 20.,Riduce la resistenza al fuoco di 20 punti.,
48,22,15,Water Res +20,Wasserabwehr +20,Eau +20,Resist. agua +20,Acqua +20,,Increases Water Resistance by 20.,Erhöht Wasserabwehr um 20.,Augmente la résistance à l'eau de 20.,Aumenta la resistencia al agua en 20.,Aumenta la resistenza all'acqua di 20 punti.,
49,22,10,Water Res +15,Wasserabwehr +15,Eau +15,Resist. agua +15,Acqua +15,,Increases Water Resistance by 15.,Erhöht Wasserabwehr um 15.,Augmente la résistance à l'eau de 15.,Aumenta la resistencia al agua en 15.,Aumenta la resistenza all'acqua di 15 punti.,
50,22,-10,Water Res -20,Wasserabwehr -20,Eau -20,Resist. agua -20,Acqua -20,,Decreases Water Resistance by 20.,Verringert Wasserabwehr um 20.,Diminue la résistance à l'eau de 20.,Reduce la resistencia al agua en 20.,Riduce la resistenza all'acqua di 20 punti.,
51,23,15,Thunder Res +20,Donnerabwehr +20,Foudre +20,Resist. rayo +20,Tuono +20,,Increases Thunder Resistance by 20.,Erhöht Donnerabwehr um 20.,Augmente la résistance à la foudre de 20.,Aumenta la resistencia al rayo en 20.,Aumenta la resistenza al tuono di 20 punti.,
52,23,10,Thunder Res +15,Donnerabwehr +15,Foudre +15,Resist. rayo +15,Tuono +15,,Increases Thunder Resistance by 15.,Erhöht Donnerabwehr um 15.,Augmente la résistance à la foudre de 15.,Aumenta la resistencia al rayo en 15.,Aumenta la resistenza al tuono di 15 punti.,
53,23,-10,Thunder Res -20,Donnerabwehr -20,Foudre -20,Resist. rayo -20,Tuono -20,,Decreases Thunder Resistance by 20.,Verringert Donnerabwehr um 20.,Diminue la résistance à la foudre de 20.,Reduce la resistencia al rayo en 20.,Riduce la resistenza al tuono di 20 punti.,
54,24,15,Ice Res +20,Eisabwehr +20,Glace +20,Resist. hielo +20,Gelo +20,,Increases Ice Resistance by 20.,Erhöht Eisabwehr um 20.,Augmente la résistance à la glace de 20.,Aumenta la resistencia al hielo en 20.,Aumenta la resistenza al gelo di 20 punti.,
55,24,10,Ice Res +15,Eisabwehr +15,Glace +15,Resist. hielo +15,Gelo +15,,Increases Ice Resistance by 15.,Erhöht Eisabwehr um 15.,Augmente la résistance à la glace de 15.,Aumenta la resistencia al hielo en 15.,Aumenta la resistenza al gelo di 15 punti.,
56,24,-10,Ice Res -20,Eisabwehr -20,Glace -20,Resist. hielo -20,Gelo -20,,Decreases Ice Resistance by 20.,Verringert Eisabwehr um 20.,Diminue la résistance à la glace de 20.,Reduce la resistencia al hielo en 20.,Riduce la resistenza al gelo di 20 punti.,
57,25,15,Dragon Res +20,Drachenabwehr +20,Dragon +20,Resist. draco +20,Drago +20,,Increases Dragon Resistance by 20.,Erhöht Drachenabwehr um 20.,Augmente la résistance au dragon de 20.,Aumenta la resistencia al draco en 20.,Aumenta la resistenza al drago di 20 punti.,
58,25,10,Dragon Res +15,Drachenabwehr +15,Dragon +15,Resist. draco +15,Drago +15,,Increases Dragon Resistance by 15.,Erhöht Drachenabwehr um 15.,Augmente la résistance au dragon de 15.,Aumenta la resistencia al draco en 15.,Aumenta la resistenza al drago di 15 punti.,
59,25,-10,Dragon Res -20,Drachenabwehr -20,Dragon -20,Resist. draco -20,Drago -20,,Decreases Dragon Resistance by 20.,Verringert Drachenabwehr um 20.,Diminue la résistance au dragon de 20.,Reduce la resistencia al draco en 20.,Riduce la resistenza al drago di 20 punti.,
60,26,10,Blightproof,Schadenssicher,Anti-fléau,Anti daño elem.,Annulla-elementi,,"Negates all elemental blights (Fire, Water, Thunder, Ice, and Dragon).","Hebt alle Elementeffekte auf (Feuer-, Wasser-, Donner-, Eis- und Drachenbrand).","Annule tous les fléaux élémentaires (feu, eau, foudre, glace et dragon).","Anula todas las plagas elementales (fuego, agua, rayo, hielo y draco).",Annulla gli effetti speciali degli attacchi elementali.,
61,27,15,Fire Atk +2,Feuerangriff +2,Attaque Feu +2,Ataque fuego +2,Att. fuoco +2,,Greatly increases the power of Fire attacks and Flaming shots (Flaming S).,Verstärkt die Kraft von Feuerangriffen und Flammen- schüssen (Flamme S) stark.,Augmente nettement la puissance des attaques de feu et des munitions incendiaires.,Aumenta mucho la potencia de ataques de fuego y disparos llama (D llama).,Aumenta molto la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,
62,27,10,Fire Atk +1,Feuerangriff +1,Attaque Feu +1,Ataque fuego +1,Att. fuoco +1,,Increases the power of Fire attacks and Flaming shots (Flaming S).,Verstärkt die Kraft von Feuerangriffen und Flammen- schüssen (Flamme S).,Augmente la puissance des attaques de feu et des munitions incendiaires.,Aumenta la potencia de ataques de fuego y disparos llama (D llama).,Aumenta la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,
63,27,-10,Fire Atk Down,Feuerangriff -,Attaque Feu -,Ataque fuego -1,Att. fuoco -1,,Decreases the power of Fire attacks and Flaming shots (Flaming S).,Senkt die Kraft von Feuerangriffen und Flammen- schüssen (Flamme S).,Réduit la puissance des attaques de feu et des munitions incendiaires.,Reduce la potencia de ataques de fuego y disparos llama (D llama).,Riduce la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,
64,28,15,Water Atk +2,Wasserangriff +2,Attaque Eau +2,Ataque agua +2,Att. acqua +2,,Greatly increases the power of Water attacks and Water shots (Water S).,Verstärkt die Kraft von Wasserangriffen und Wasser- schüssen (Wasser S) stark.,Augmente nettement la puissance des attaques d'eau et des munitions aquatiques.,Aumenta mucho la potencia de ataques de agua y disparos agua (D agua).,Aumenta molto la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,
65,28,10,Water Atk +1,Wasserangriff +1,Attaque Eau +1,Ataque agua +1,Att. acqua +1,,Increases the power of Water attacks and Water shots (Water S).,Verstärkt die Kraft von Wasserangriffen und Wasser- schüssen (Wasser S).,Augmente la puissance des attaques d'eau et des munitions aquatiques.,Aumenta la potencia de ataques de agua y disparos agua (D agua).,Aumenta la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,
66,28,-10,Water Atk Down,Wasserangriff -,Attaque Eau -,Ataque agua -1,Att. acqua -1,,Decreases the power of Water attacks and Water shots (Water S).,Senkt die Kraft von Wasserangriffen und Wasser- schüssen (Wasser S).,Réduit la puissance des attaques d'eau et des munitions aquatiques.,Reduce la potencia de ataques de agua y disparos agua (D agua).,Riduce la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,
67,29,15,Thunder Atk +2,Donnerangriff +2,Att. Foudre +2,Ataque rayo +2,Att. tuono +2,,Greatly increases the power of Thunder attacks and Thunder shots (Thunder S).,Verstärkt die Kraft von Donnerangriffen und Donner- schüssen (Donner S) stark.,Augmente nettement la puissance des attaques de foudre et des munitions de foudre.,Aumenta mucho la potencia de ataques de rayo y disparos rayo (D rayo).,Aumenta molto la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,
68,29,10,Thunder Atk +1,Donnerangriff +1,Att. Foudre +1,Ataque rayo +1,Att. tuono +1,,Increases the power of Thunder attacks and Thunder shots (Thunder S).,Verstärkt die Kraft von Donnerangriffen und Donner- schüssen (Donner S).,Augmente la puissance des attaques de foudre et des munitions de foudre.,Aumenta la potencia de ataques de rayo y disparos rayo (D rayo).,Aumenta la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,
69,29,-10,Thunder Atk Down,Donnerangriff -,Attaque Foudre -,Ataque rayo -1,Att. tuono -1,,Decreases the power of Thunder attacks and Thunder shots (Thunder S).,Senkt die Kraft von Donnerangriffen und Donner- schüssen (Donner S).,Réduit la puissance des attaques de foudre et des munitions de foudre.,Reduce la potencia de ataques de rayo y disparos rayo (D rayo).,Riduce la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,
70,30,15,Ice Atk +2,Eisangriff +2,Attaque Glace +2,Ataque hielo +2,Att. gelo +2,,Greatly increases the power of Ice attacks and Freeze shots (Freeze S).,Verstärkt die Kraft von Eisangriffen und Frost- schüssen (Frost S) stark.,Augmente nettement la puissance des attaques de glace et des munitions de glace.,Aumenta mucho la potencia de ataques de hielo y disparos congeladores (D congeladores).,Aumenta molto la potenza degli attacchi gelo e dei proiettili gelo (P gelo).,
71,30,10,Ice Atk +1,Eisangriff +1,Attaque Glace +1,Ataque hielo +1,Att. gelo +1,,Increases the power of Ice attacks and Freeze shots (Freeze S).,Verstärkt die Kraft von Eisangriffen und Frost- schüssen (Frost S).,Augmente la puissance des attaques de glace et des munitions de glace.,Aumenta la potencia de ataques de hielo y disparos congeladores (D congeladores).,Aumenta la potenza degli attacchi gelo e dei proiettili gelo (P gelo).,
72,30,-10,Ice Atk Down,Eisangriff -,Attaque Glace -,Ataque hielo -1,Att. gelo -1,,Decreases the power of Ice attacks and Freeze shots (Freeze S).,Senkt die Kraft von Eisangriffen und Frost- schüssen (Frost S).,Réduit la puissance des attaques de glace et des munitions de glace.,Reduce la potencia de ataques de hielo y disparos congeladores (D congeladores).,Riduce la potenza degli attacchi gelo e dei proiettili gelo (P gelo).,
73,31,15,Dragon Atk +2,Drachenangriff +2,Att. Dragon +2,Ataque draco +2,Att. drago +2,,Greatly increases the power of Dragon attacks and Dragon shots (Dragon S).,Verstärkt die Kraft von Drachenangriffen und Drachen- schüssen (Drachen S) stark.,Augmente nettement la puissance des attaques et munitions anti-dragon.,Aumenta mucho la potencia de los ataques de draco y los disparos de draco (D draco).,Aumenta molto la potenza degli attacchi drago e dei proiettili drago (P drago).,
74,31,10,Dragon Atk +1,Drachenangriff +1,Att. Dragon +1,Ataque draco +1,Att. drago +1,,Increases the power of Dragon attacks and Dragon shots (Dragon S).,Verstärkt die Kraft von Drachenangriffen und Drachen- schüssen (Drachen S).,Augmente la puissance des attaques anti-dragon et des munitions anti-dragon.,Aumenta la potencia de ataques de draco y disparos draco (D draco).,Aumenta la potenza degli attacchi drago e dei proiettili drago (P drago).,
75,31,-10,Dragon Atk Down,Drachenangriff -,Attaque Dragon -,Ataque draco -1,Att. drago -1,,Decreases the power of Dragon attacks and Dragon shots (Dragon S).,Senkt die Kraft von Drachenangriffen und Drachen- schüssen (Drachen S).,Réduit la puissance des attaques anti-dragon et des munitions anti-dragon.,Reduce la potencia de ataques de draco y disparos draco (D draco).,Riduce la potenza degli attacchi drago e dei proiettili drago (P drago).,
76,32,10,Element Atk Up,Elementangriff +,Élémentaire +,Elemental +1,Att. elementale+,,Increases the power of elemental attacks.,Erhöht die Kraft von Elementangriffen.,Augmente la puissance des attaques élémentaires.,Aumenta la potencia de los ataques elementales.,Aumenta la forza degli attacchi elementali.,
77,32,-10,Element Atk Down,Elementangriff -,Élémentaire -,Elemental -1,Att. elementale-,,Decreases the power of elemental attacks.,Verringert die Kraft von Elementangriffen.,Réduit la puissance des attaques élémentaires.,Reduce la potencia de ataques elementales.,Riduce la potenza degli attacchi elementali.,
78,33,15,Status Atk +2,Statusangriff +2,Affliction +2,Estado anormal +2,Att. status +2,,Increases the potency of abnormal status attacks.,Erhöht die Kraft von anormalen Angriffen.,Augmente la puissance des afflictions.,Aumenta mucho la potencia de los ataques de estado anormal.,Aumenta la potenza degli attacchi con status alterato.,
79,33,10,Status Atk +1,Statusangriff +1,Affliction +1,Estado anormal +1,Att. status +1,,Slightly increases the potency of abnormal status attacks.,Erhöht die Kraft von anormalen Angriffen leicht.,Augmente légèrement la puissance des afflictions.,Aumenta la potencia de los ataques de estado anormal.,Aumenta leggermente la potenza degli attacchi con status alterato.,
80,33,-10,Status Atk Down,Statusangriff -,Affliction -,Estado anormal -1,Att. status -1,,Decreases the potency of abnormal status attacks.,Verringert die Kraft von anormalen Angriffen.,Réduit la puissance des afflictions.,Reduce la potencia de los ataques de estado anormal.,Riduce la potenza degli attacchi con status alterato.,
81,34,10,Speed Sharpening,Schnell Schärfen,Aiguisage rapide,Afilado rápido,Affilatura+,,Speeds up weapon sharpening.,Beschleunigt die Waffenschärfung.,Vous aiguisez votre arme plus vite.,Acelera el afilado de armas.,Accelera l'affilamento dell'arma.,
82,34,-10,Slow Sharpening,Langsam Schärfen,Aiguisage lent,Afilado lento,Affilatura-,,Slows down weapon sharpening.,Verlangsamt die Waffenschärfung.,Vous aiguisez votre arme moins vite.,Ralentiza el afilado de armas.,Rallenta l'affilamento dell'arma.,
83,35,15,Sharpness +2,Schärfe +2,Tranchant +2,Afilado +2,Acutezza +2,,Increases the length of your weapon's Sharpness Gauge.,Steigert die Länge der Schärfe-Anzeige der Waffe.,Augmente la longueur de la jauge de tranchant de votre arme.,Alarga mucho la barra de afilado de tu arma.,Aumenta la capacità della barra acutezza della tua arma.,
84,35,10,Sharpness +1,Schärfe +1,Tranchant +1,Afilado +1,Acutezza +1,,Slightly increases the length of your weapon's Sharpness Gauge.,Steigert die Länge der Schärfe-Anzeige der Waffe leicht.,Augmente légèrement la longueur de la jauge de tranchant de votre arme.,Alarga la barra de afilado de tu arma.,Aumenta leggermente la capacità della barra acutezza della tua arma.,
85,36,10,Razor Sharp,Scharfschwert,Samouraï,Filo de cuchilla,Lama affilata,,Halves the rate at which your weapon loses Sharpness.,"Halbiert die Rate, mit der deine Waffe Schärfe verliert.",Votre arme perd de son tranchant deux fois moins vite.,Divide por 2 la velocidad de pérdida de afilado del arma.,Dimezza la velocità con cui la tua arma perde acutezza quando attacchi.,
86,36,-10,Blunt Edge,Stumpf,Barbare,Filo romo,Lama smussata,,Doubles the rate at which your weapon loses Sharpness.,"Verdoppelt die Rate, mit der deine Waffe Schärfe verliert.",Votre arme perd de son tranchant deux fois plus vite.,Dobla la velocidad de pérdida de afilado del arma.,Raddoppia la velocità con cui la tua arma perde acutezza quando attacchi.,
87,37,10,Mind's Eye,Übersinnliche Kraft,Œil de l'esprit,Ojo preciso,Preveggenza,,Prevents your attacks from being deflected.,"Verhindert, dass deine Angriffe abgelenkt werden.",Empêche vos attaques d'être détournées.,Evita que tus ataques sean rechazados.,Impedisce ai tuoi attacchi di essere deviati.,
88,37,-10,Blind Eye,Fehlsichtig,Œil aveugle,Ojo ciego,Prevedibilità,,Causes your attacks to be deflected more easily.,Deine Angriffe werden leichter abgelenkt.,Vos attaques sont détournées plus facilement.,Tus ataques son rechazados más fácilmente.,Rende i tuoi attacchi più facili da deviare.,
